en,sigma_abs,zero,err_sigma_abs,peak_abs,err_peak_abs
20,7.45193,0,0.118497,460.338,0.153733
30,7.99035,0,0.073275,690.413,0.0895822
40,8.59851,0,0.00257922,922.92,0.0358152
60,9.82928,0,0.0676154,1384.58,0.0899166
80,10.8742,0,0.0866321,1845.48,0.0656591
100,12.5851,0,0.0765715,2302.41,0.0651339
120,13.7698,0,0.100397,2755.58,0.114964
150,14.9021,0,0.0225658,3424,0.0203077
175,17.1897,0,0.0348477,3966.23,0.0735119
200,19.2256,0,0.146423,4505.4,0.18939
225,21.6854,0,0.064886,5023.28,0.0831816
250,25.3472,0,0.168797,5514.33,0.221896
275,30.9422,0,0.716391,6250.96,0.842662
